Unnamed: 0,Unnamed: 1,Corp,005930.KS,삼성전자,005930.KS.1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,BJ,Unnamed: 62,Unnamed: 63,Unnamed: 64,BN,Unnamed: 66,BP,Unnamed: 68,Unnamed: 69,Unnamed: 70,BT,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,삼성전자,,,KOSPI,반도체,45627,1969년,ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),% PER (Avg),PBR (Oct-25),PER (Avg),,Price (₩),"89,000",52 High,52 Low,DY (F1),시총 (KRW),0,,,,,0xf,,,,,,,,PER (MIN),PER (Min∼Avg),PER (Avg),PER (Avg∼Max),PER (MAX),ROE (Fwd),OPM (Fwd),PER (Fwd),PER (FY+1),PER (Oct-25),PER (FY 0),PER (FY-1),PBR (Fwd),PBR (FY+1),PBR (Oct-25),PBR (FY 0),PBR (FY-1),,,,,,,,,,23193.176081908226,39772.4089115959,56351.64174128358,90452.5414870776,124553.4412328716,,58822.32244589294,69682.86592500849,80543.40940412403,95856.10114175902,111168.792879394,,,,,,,,
,005930.KS,,,Report,Naver,Yahoo,Google,,,97.05986358185469,19.12319206984838,0.12679926757595217,1.4527209305648718,16.97125,,전일비,0.034884,"90,300","49,900",0.017134831460674158,주식수,0,,,,,0xf,,,,,,,,6.86,11.915625,16.97125,26.905625,36.84,9.5,13.054022684459104,14.900634532639087,19.360452469001523,19.12319206984838,17.97979797979798,41.76442984514313,1.3400000000000003,1.436804804416964,1.4527209305648718,1.5349855987306187,1.711472635667859,,,,,,,,,PER,EPS,,,,,,,,,,,,,,,,,PCR,CPS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,8,AF,,,,,,,,,,,,,,,,,,,,,,,,"=IF(AND($W$5=FX!$E$35,$BC7=EOMONTH(TODAY(),-1)+1),$AC$8,IF(OR($W$5=FX!$E$35,$BC7<$B$5),XLOOKUP($BC7,INDIRECT(""'""&$F$1&""'!$AG3:$AG100""),INDIRECT(""'""&$F$1&""'!$AH3:$AH100""),NA(),0),NA()))",,,,,POR,OPS,,,,,,,,,,,,,,,,,POCR,OCPS
,45471,81500,,,,,,,,,,,,,,,,,,,,,,,,,253,"89,000","89,000","5,973",4,,,,FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3,,,,,,,,,,,,45444,37,,,,,,,,,,,,,,,,,,,,,,,,
,      ,,,,,24.105797240771892,,,,,,,,,,,1.5102259874508337,,,,,,,,,,구분,주가,매출액,,Fwd 12M EPS,,,,,,,,,,,,,,,,,,,,,,,DATE,Price,PER,PBR,High,Low,EPS,6.86,11.76375,16.6675,26.753750000000004,36.84,BPS,1.09,1.29125,1.4925,1.77625,2.06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43800,44166,44531,44896,45261,2024/12(E),2025/12(E),2026/12(E),,,,,,,,,,,,46357,0x2a,0x2a,0x2a,0x2a,0x2a,"7,697",52801.420000000006,90545.58375,128289.7475,205923.61375000002,283557.48000000004,"68,189",74326.01000000001,88049.04625,101772.08249999999,121120.71125000001,140469.34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,45933,89000,,,5973,,,,43800,44166,44531,44896,45261,Dec-24(E),Dec-25(E),Dec-26(E),,,,,,,,,,,,46327,0x2a,0x2a,0x2a,0x2a,0x2a,7640.07387627297,52410.90679123258,89875.91906200614,127340.93133277973,204400.626467338,281460.32160189626,67595.66199519158,73679.27157475882,87282.89855129113,100886.52552782343,120066.79461895904,139247.06371009466,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,시가총액,,,,,,,,,,,,,,,,,,,,46296,0x2a,0x2a,0x2a,0x2a,0x2a,7583.56877158746,52023.28177308998,89211.20713676198,126399.13250043399,202888.90302285805,279378.67354528204,67007.48684638557,73038.16066256027,86523.41739039536,100008.67411823045,119022.04851089237,138035.42290355428,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통주 주가 ,,,,,,,,,,,,,,,,,,,,46266,0x2a,0x2a,0x2a,0x2a,0x2a,7527.481572135228,51638.523584847666,88551.41134420579,125464.29910356391,201388.36011051288,277312.4211174618,66424.42962964001,72402.62829630762,85770.54475927267,99138.46122223772,117986.39312964809,136834.32503705844,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46235,0x2a,0x2a,0x2a,0x2a,0x2a,7471.809187137396,51256.61102376254,87896.49532518754,124536.37962661256,199898.91504037715,275261.4504541417,65846.44581191297,71772.62593498515,85024.22315463262,98275.8203742801,116959.74937341042,135643.67837254071,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자산총계,,,,,,,,,,,,,,,,,,,,46204,0x2a,0x2a,0x2a,0x2a,0x2a,7416.548548674132,50877.52304390455,87246.42298946531,123615.3229350261,198420.4857340906,273225.64853315504,65273.49124766115,71148.10545995066,84284.39557354245,97420.68568713426,115942.03882865813,134463.39197018198,,,,,,,,
