Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,가중치,1,1.1,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,기업정보,,,,,,Price,,,Market Cap,수익성,,활동성,밸류 (Oct-25),,,,,,EPS %,,,Chk,성장률,,,Rank↑,,,기준,,<,기대수익률 (Regression),,,,>
,Ticker,Corp,Exchange,WI26,FY O,설립,현재가,전일대비,전주대비,(USD mn),ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),PER (1~5),%,PBR (Oct-25),PBR (1~5),%,"FY+1 /
 FY 0 ","FY+2 /
 FY+1 ","FY+3 /
 FY+2",F0←F+1,Sales (3),,PEG (Oct-25),% PER (Avg),% PBR (Avg),PER+PBR,PER (Avg),PBR (Avg),EPS (Oct-25),Price,Return,BPS (Oct-25),Price,Return
,NVDA,NVIDIA,NASDAQ,반도체,45658,1998,187.62,-0.00672348986182425,0,4559166,0.7943000000000001,0.656064120799905,56.17364560990628,46.45233434695316,PER (2),0.15448965415398197,35.7214439673381,PBR (5),-0.03585846242002433,0.5272108843537416,0.4231625835189308,0.15336463223787175,-0.0033898305084746542,0.3489879392813709,Sales (3),1.3310584441000137,-0.1556040109619965,0.4526817392166773,1398,55.01249999999999,24.59,4.038978936960703,222.19432876955062,0.18427848187586937,5.252307274351797,129.1542358763107,-0.3116179731568559
,MSFT,Microsoft,NASDAQ,소프트웨어,45809,1993,517.35,0.003121728002482005,0,3845549,0.2901,0.45819632290851764,70.02105876711933,36.34664315324679,PER (4),0.04091050574012156,10.255779190294193,PBR (3),0.002152601958636202,0.13636363636363633,0.17161290322580647,0.1861233480176211,0.02019446522064333,0.14665498838744534,Sales (3),2.4783775548925213,0.13738762067660582,0.002152601958636202,1346,31.956250000000004,10.23375,14.233776632926443,454.8581245259557,-0.12079225954198192,50.44472881101095,516.2387434696833,-0.002147978216520241
,AAPL,Apple,NASDAQ,IT하드웨어,45536,1977,258.02,0.0034612841753198786,0,3829118,1.8175999999999999,0.31812127339770724,4.328318467568302,34.77101284582419,PER (4),0.007162108572336123,59.7169190916381,PBR (5),-0.03448796941571386,0.21217105263157895,0.08548168249660786,0.10000000000000009,-0.08571428571428576,0.059640313984182805,Sales (3),5.8301190122918864,0.13085658495240882,0.2922593327736882,1663,30.7475,46.21125,7.420548867646425,228.16332630795844,-0.11571457132021368,4.320718548859789,199.66580504099693,-0.22616151832804843
,GOOG,Alphabet Class C,NASDAQ,소프트웨어,45627,2015,246.45,8.115894980309513e-05,0,2973236,0.2988,0.33529885616586846,44.227714301665856,25.621635534951356,PER (4),-0.04743431415739918,7.823508894688259,PBR (5),0.028056359354567517,0.2400497512437813,0.06820461384152454,0.14178403755868543,0.0024937655860348597,0.11669682008279092,Sales (3),2.1955727256984385,0.07181073143490302,0.24627780082648498,1560,23.904999999999998,6.2775,9.6188238906064,229.93798510494597,-0.0669994517957152,31.501210430952057,197.74884848030152,-0.19761067770216467
,GOOGL,Alphabet Class A,NASDAQ,소프트웨어,45627,2015,245.35,-0.0013838577068664426,0,2973236,0.2892,0.33491443951593863,44.227714301665856,25.5928713621045,PER (4),-0.04759636749930918,7.644173925257262,PBR (5),0.0031724311361236435,0.23507462686567174,0.0715005035246728,0.1353383458646616,0.0037453183520598453,0.11621319410807607,Sales (3),2.2022345705689506,0.0733576455928493,0.24295510979792878,1556,23.84375,6.15,9.586653897822933,228.58177887621554,-0.06834408446620932,32.09633930349679,197.3924867165053,-0.19546571544118485
,AMZN,Amazon Com,NASDAQ,소매(유통),45627,1996,219.51,-0.013038982060159188,0,2341055,0.21,0.12377348510807547,-4.734778909332938,33.86972650182109,PER (2),-0.0011455783925360397,6.733819250816714,PBR (2),0.05267325855464011,0.20976491862567814,0.1375186846038864,0.2036793692509855,0.07378640776699026,0.10609904471558396,Sales (3),3.1922744066748665,-0.22790215419042037,-0.203451811229725,611,43.86714285714286,8.453750000000001,6.481008932510792,284.30334470086984,0.2951726331414053,32.598142573158114,275.57654777783546,0.2554168273784132
,META,Meta Platforms Class A,NASDAQ,소프트웨어,45627,2004,710.56,-0.02268069596313871,0,1785027,0.2849,0.3865536291272005,21.926313791746995,25.901193565505096,PER (4),0.03534888212476961,8.011599656156937,PBR (5),-0.013349796039785922,0.18231349538977373,0.05884438142502659,0.13993973886842972,0.05202821869488535,0.1635461394456522,Sales (3),1.5837239358445565,0.12791654522911533,0.3242313481251138,1681,22.963749999999997,6.049999999999999,27.433484800728078,629.9756865927193,-0.1134095831559343,88.69140128013417,536.5829777448116,-0.24484494237670051
,AVGO,Broadcom,NASDAQ,반도체,45566,2018,338.37,0.0005618309775858865,0,1597907,0.42710000000000004,0.6470295458091871,36.348572779802446,50.73013493253374,PER (3),0.0460900078881068,20.68276283618582,PBR (5),-0.00034979042117844195,4.4227642276422765,0.37931034482758613,0.2706521739130435,-0.7453416149068323,0.2742362660569557,Sales (3),1.849869663919566,0.0460900078881068,0.6757352915686301,1712,48.495,12.342500000000001,6.67,323.46164999999996,-0.044059313768951225,16.36,201.9233,-0.40324703726689715
