Unnamed: 0,"※ 데이터-모두 새로고침시 20분 지연시세 (현재가, 전일대비, 전주대비, 시가총액, 환율). But 일본과 상해는 25/10/03 기준",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,기업정보,,,,,,Price,,,Market Cap,수익성,,활동성,밸류 (Oct-25),,,성장률,,밸류에이션,,,,,기대수익률 (10Y),,,기간별 수익률 (25/10/03),,,,,,괴리율 (EPS+HYY),,,,,,Fwd 12M EPS Consensus Change (%),,,,,,Fwd 12M EPS Consensus (USD),,,,,,
,Ticker,Corp,Exchange,WI26,FY 0,설립,현재가,전일대비,전주대비,(USD mn),ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),% PER (Avg),PBR (Oct-25),Sales (3),,PER (3),PER (5),PER (10),PEG (Oct-25),PER (Avg),Price (10),Return (Y),DY (FY+1),W,1 M,3 M,6 M,YTD,12 M,W,1 M,3 M,6 M,YTD,12 M,W,1 M,3 M,6 M,YTD,12 M,45933,45926.0,45903.0,45841.0,45750.0,45653.0,45568.0
,NVDA,NVIDIA,NASDAQ,반도체,45658,1998,187.62,-0.00672348986182425,0,4559166,0.7943000000000001,0.656064120799905,56.17364560990628,46.45233434695316,-0.1556040109619965,35.7214439673381,0.3489879392813709,Sales (3),17.41571428371695,9.570291310901883,2.1423223727643443,1.3310584441000137,55.01249999999999,4817.876796330016,0.3834314863719601,0.00021319688732544505,0.05292103934003034,0.09963661938811397,0.17748211371909117,0.8430255402750493,0.3693890956864463,0.5272283272283274,-0.022416634414316204,-0.05969658207421594,0.017156774936777308,-0.4879340285461202,0.0790381076437458,0.08074945280391499,0.029565217391304334,0.029565217391304334,0.16996047430830047,0.22821576763485468,0.37674418604651166,0.5871313672922251,5.92,5.75,5.75,5.06,4.82,4.3,3.73
,MSFT,Microsoft,NASDAQ,소프트웨어,45809,1993,517.35,0.003121728002482005,0,3845549,0.2901,0.45819632290851764,70.02105876711933,36.34664315324679,0.13738762067660582,10.255779190294193,0.14665498838744534,Sales (3),24.00711486340017,18.258892886859922,9.21108133545663,2.4783775548925213,31.956250000000004,1794.856145050034,0.13246429780672075,0.0068618923359427845,0.01151605208618478,0.02374591867022846,0.03710608611979804,0.3865884055640427,0.2016584210159571,0.242017573342296,0.003655808715551781,0.00023434342923591908,0.05881415829312943,-0.13941190959026906,0.04073888198200909,-0.0326287385573186,0.01423267326732676,0.013605442176870677,0.07124183006535946,0.12030075187969923,0.17071428571428576,0.18854242204496022,16.39,16.16,16.17,15.3,14.63,14.0,13.79
,AAPL,Apple,NASDAQ,IT하드웨어,45536,1977,258.02,0.0034612841753198786,0,3829118,1.8175999999999999,0.31812127339770724,4.328318467568302,34.77101284582419,0.13085658495240882,59.7169190916381,0.059640313984182805,Sales (3),28.51027351582971,25.391270867902545,19.006059089781097,5.8301190122918864,30.7475,417.4179356448256,0.04928091451108374,0.0039919386094101235,0.010021138338683011,0.08198096196586557,0.20824162959494252,0.26984595698607206,0.009507414218083543,0.14335091062170413,-0.0028397535508399114,-0.0628451908542856,-0.13271575762025578,-0.11095996961414861,0.11853209061474507,-0.05636693174412068,0.0062421972534332975,0.008760951188986269,0.05084745762711872,0.03201024327784903,0.05635648754914818,0.06613756613756626,8.06,8.01,7.99,7.67,7.81,7.63,7.56
,GOOG,Alphabet Class C,NASDAQ,소프트웨어,45627,2015,246.45,8.115894980309513e-05,0,2973236,0.2988,0.33529885616586846,44.227714301665856,25.621635534951356,0.07181073143490302,7.823508894688259,0.11669682008279092,Sales (3),18.7507072238638,15.036511606832672,8.659058957608234,2.1955727256984385,23.904999999999998,680.3726916333749,0.1068832235873427,0.003246094542503551,-0.0029533133748685936,0.06642146257031589,0.3649958460260314,0.6146891174736291,0.2700989486703773,0.47389510196758544,0.010578269772697546,-0.047434202456334645,-0.2799552586402341,-0.3581241986743029,-0.018124777971243428,-0.21885665175684224,0.00668576886341915,0.008612440191387547,0.06036217303822934,0.12968917470525176,0.18029115341545346,0.234192037470726,10.54,10.47,10.45,9.94,9.33,8.93,8.54
,GOOGL,Alphabet Class A,NASDAQ,소프트웨어,45627,2015,245.35,-0.0013838577068664426,0,2973236,0.2892,0.33491443951593863,44.227714301665856,25.5928713621045,0.0733576455928493,7.644173925257262,0.11621319410807607,Sales (3),18.700937881001988,15.009598807558064,8.662302091171757,2.2022345705689506,23.84375,675.347500113409,0.10655784996932471,0.003301406154473202,-0.004826802952867637,0.0636868117575653,0.36662396256893004,0.6278529723991506,0.2728263125129695,0.47925961654407323,0.012458151099131981,-0.04372426412643855,-0.28152258749628656,-0.3735682347290591,-0.02592008094357498,-0.22539212652068363,0.006692160611854541,0.009587727708533044,0.0604229607250755,0.12740899357601707,0.1752232142857141,0.2330210772833724,10.53,10.46,10.43,9.93,9.34,8.96,8.54
,AMZN,Amazon Com,NASDAQ,소매(유통),45627,1996,219.51,-0.013038982060159188,0,2341055,0.21,0.12377348510807547,-4.734778909332938,33.86972650182109,-0.22790215419042037,6.733819250816714,0.10609904471558396,Sales (3),24.082967661973008,19.68439031928796,11.889179439941639,3.1922744066748665,43.86714285714286,809.9193537463084,0.13945911465687977,0,-0.0012285012285012664,-0.028673835125448077,-0.017456693970726467,0.23036825290062213,-0.018949720670391135,0.20636403605187947,0.014395949632476266,0.049903471873007865,0.1345104748872094,0.0018487374842534599,0.294186857501729,0.13540436250374066,0.012228260869565197,0.010854816824966088,0.09237536656891494,0.10534124629080117,0.20355411954765745,0.32092198581560294,7.45,7.36,7.37,6.82,6.74,6.19,5.64
,META,Meta Platforms Class A,NASDAQ,소프트웨어,45627,2004,710.56,-0.02268069596313871,0,1785027,0.2849,0.3865536291272005,21.926313791746995,25.901193565505096,0.12791654522911533,8.011599656156937,0.1635461394456522,Sales (3),17.737343293978913,13.101509994273664,6.143322359833664,1.5837239358445565,22.963749999999997,2656.0745544926604,0.14094300620002298,0.0030398558883134434,-0.04462521008403364,-0.035940573909504114,-0.011752270483025296,0.33659380760693725,0.18464180323769197,0.219280333579285,0.05065950631409557,0.05414918129803789,0.12590049337256679,-0.09981558789395811,0.05568260425135968,0.048510874778094154,0.005095108695652125,0.00783378746594007,0.08946980854197348,0.10990247561890472,0.16864139020537122,0.24694479561736196,29.59,29.44,29.36,27.16,26.66,25.32,23.73
,AVGO,Broadcom,NASDAQ,반도체,45566,2018,338.37,0.0005618309775858865,0,1597907,0.42710000000000004,0.6470295458091871,36.348572779802446,50.73013493253374,0.0460900078881068,20.68276283618582,0.2742362660569557,Sales (3),22.651872124693924,13.950962729946704,4.1529277115907215,1.849869663919566,48.495,3951.2494051370477,0.27859870198568215,0.00700416703608476,0.011478791139808209,0.11898541618439773,0.2296315139181626,1.1970651256411924,0.3996690796277147,0.9685263831520161,0.01281968449248803,0.0328286096935308,-0.013243255011009147,-0.7888523341933575,0.09396138742412641,-0.4565940708982227,0.023359288097886437,0.14143920595533482,0.19170984455958545,0.2813370473537604,0.4219474497681607,0.49108589951377624,9.2,8.99,8.06,7.72,7.18,6.47,6.17
