Unnamed: 0,'S_Valuation'!B,Unnamed: 2,<,Unnamed: 4,'S_Valuation'!F,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,'S_Valuation'!S,'S_Valuation'!T,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,'S_Valuation'!AH,'S_Valuation'!G,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,C42,D42,E42,F42,G42,H42,I42,J42
,,,,결산,,PER (1),PER (2),PER (3),PER (4),PER (5),<,PER,,,,,,>,,,<,F-4 ~ F+3,,,,,>,<,F-4 ~ F 0,>,<,BPS,>,,PBR (1),PBR (2),PBR (3),PBR (4),PBR (5),PBR,,,,,,,
,Ticker,Corp,Exchange,FY 0,PER,PER (MIN),PER (Min∼Avg),PER (Avg),PER (Avg∼Max),PER (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3,성장률,Pick,"Avg (7,3)",Sales (7),Sales (3),OP (7),OP (3),EPS (7),EPS (3),Sales (4),OP (4),EPS (4),BPS (7),BPS (3),BPS (4),PBR,PBR (MIN),PBR (Min∼Avg),PBR (Avg),PBR (Avg∼Max),PBR (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3
,NVDA,NVIDIA,NASDAQ,45658,55.01249999999999,25.46,40.23625,55.01249999999999,83.57124999999999,112.13,75.33,63.65,112.13,51.56,40.86,41.77,29.34,25.46,0.3489879392813709,Sales (3),0.5098235361398766,0.5253361221720296,0.3489879392813709,0.733908503714471,0.37886585581699617,0.7134040740535568,0.3584387218008353,0.672567567902093,1.058990277133562,1.0392693987068093,0.5521712499563318,0.6577299444231655,0.47743718151635706,24.59,12.71,18.65,24.59,30.82,37.05,19.07,23.06,21.8,35.27,37.05,30.4,17.36,12.71
,NVDA,NVIDIA,NASDAQ,45658,46.85285714285713,25.46,36.15642857142856,46.85285714285713,61.091428571428565,75.33,75.33,63.65,,51.56,40.86,41.77,29.34,25.46,0.3489879392813709,Sales (3),0.5098235361398766,0.5253361221720296,0.3489879392813709,0.733908503714471,0.37886585581699617,0.7134040740535568,0.3584387218008353,0.672567567902093,1.058990277133562,1.0392693987068093,0.5521712499563318,0.6577299444231655,0.47743718151635706,24.59,12.71,18.65,24.59,30.82,37.05,19.07,23.06,21.8,35.27,37.05,30.4,17.36,12.71
,NVO,Novo-Nordisk ADR repsg 1 B,NYSE,45627,25.827499999999997,13.13,19.478749999999998,25.827499999999997,32.46875,39.11,25.31,33.96,39.11,38.27,26.2,16.01,14.63,13.13,0.10507438331362516,Sales (3),0.141695496388946,0.16556956488046728,0.10507438331362516,0.17249988028994276,0.10713125023595237,0.18544769134264763,0.11445020827104067,0.2131045006512316,0.22404696165880614,0.24164856037247376,0.2232542015715772,0.32353306709779944,0.1530633174582776,15.797500000000001,5.73,10.763750000000002,15.797500000000001,22.51375,29.23,13.74,20.79,22.31,29.23,19.18,8.5,6.9,5.73
,NVO,Novo-Nordisk ADR repsg 1 B,NYSE,45627,25.827499999999997,13.13,19.478749999999998,25.827499999999997,32.46875,39.11,25.31,33.96,39.11,38.27,26.2,16.01,14.63,13.13,0.10507438331362516,Sales (3),0.141695496388946,0.16556956488046728,0.10507438331362516,0.17249988028994276,0.10713125023595237,0.18544769134264763,0.11445020827104067,0.2131045006512316,0.22404696165880614,0.24164856037247376,0.2232542015715772,0.32353306709779944,0.1530633174582776,15.797500000000001,5.73,10.763750000000002,15.797500000000001,22.51375,29.23,13.74,20.79,22.31,29.23,19.18,8.5,6.9,5.73
,MRK,Merck & Co,NYSE,45627,108.185,8.34,58.2625,108.185,434.4575,760.73,28.05,14.91,19.43,760.73,14.77,10,9.25,8.34,0.03893618379560692,Sales (3),0.16114255972488767,0.08173589768434188,0.03893618379560692,0.30203275674156943,0.1657863954197474,0.2121652906373148,0.1661988340707456,0.11498883786775177,0.41456890137007135,0.2478252664724452,0.18946179803328841,0.22552083446489407,0.16311551250405204,5.14,2.64,3.8899999999999997,5.14,6.47,7.8,7.8,5.07,6.12,7.34,5.43,3.74,2.98,2.64
,MRK,Merck & Co,NYSE,45627,14.964285714285714,8.34,11.652142857142856,14.964285714285714,21.507142857142856,28.05,28.05,14.91,19.43,,14.77,10,9.25,8.34,0.03893618379560692,Sales (3),0.16114255972488767,0.08173589768434188,0.03893618379560692,0.30203275674156943,0.1657863954197474,0.2121652906373148,0.1661988340707456,0.11498883786775177,0.41456890137007135,0.2478252664724452,0.18946179803328841,0.22552083446489407,0.16311551250405204,5.14,2.64,3.8899999999999997,5.14,6.47,7.8,7.8,5.07,6.12,7.34,5.43,3.74,2.98,2.64
,AZN,AstraZeneca ADR Representing 0.5,NASDAQ,45627,109.70249999999997,14.56,62.13124999999999,109.70249999999997,425.91625,742.13,20.54,742.13,32.17,17.67,14.56,19.14,16.74,14.67,0.06537781503625781,Sales (3),0.16351425314556206,0.13700338650607824,0.06537781503625781,0.2375064119578604,0.3187829148099072,0.13289093458821954,0.0895240559750492,0.19386532923381286,0.179853450975711,0.1665451705268396,0.07691352978366855,-0.08738903632427567,0.219276481371618,3.6937499999999996,2.3,2.9968749999999997,3.6937499999999996,4.726875,5.76,4.2,2.3,2.84,2.67,2.49,5.76,5.02,4.27
,AZN,AstraZeneca ADR Representing 0.5,NASDAQ,45627,19.35571428571428,14.56,16.95785714285714,19.35571428571428,25.762857142857143,32.17,20.54,,32.17,17.67,14.56,19.14,16.74,14.67,0.06537781503625781,Sales (3),0.16351425314556206,0.13700338650607824,0.06537781503625781,0.2375064119578604,0.3187829148099072,0.13289093458821954,0.0895240559750492,0.19386532923381286,0.179853450975711,0.1665451705268396,0.07691352978366855,-0.08738903632427567,0.219276481371618,3.6937499999999996,2.3,2.9968749999999997,3.6937499999999996,4.726875,5.76,4.2,2.3,2.84,2.67,2.49,5.76,5.02,4.27
,AMD,Advanced Micro Devices,NASDAQ,45627,83.7525,21.67,52.71125,83.7525,182.12125,280.49,44.46,55.93,77.09,280.49,120.5,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,AMD,Advanced Micro Devices,NASDAQ,45627,44.83833333333334,21.67,33.25416666666667,44.83833333333334,60.96416666666667,77.09,44.46,55.93,77.09,,,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,LULU,lululemon athletica,NASDAQ,45658,33.62875,12.71,23.169375,33.62875,53.334375,73.04,73.04,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
,LULU,lululemon athletica,NASDAQ,45658,27.998571428571434,12.71,20.354285714285716,27.998571428571434,36.979285714285716,45.96,,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
